PlayerID,Patch,Agent,count
2.0,0,omen,2
2.0,1,cypher,25
2.0,1,omen,8
2.0,1,raze,7
2.0,1,phoenix,4
2.0,1,killjoy,4
2.0,1,sova,2
2.0,2,jett,9
2.0,2,killjoy,6
2.0,2,cypher,2
2.0,3,sova,19
2.0,3,killjoy,5
3.0,0,breach,2
3.0,1,breach,23
3.0,1,omen,6
3.0,1,brimstone,6
3.0,1,jett,5
3.0,1,sova,4
3.0,1,sage,4
3.0,1,phoenix,2
3.0,2,breach,7
3.0,2,omen,2
4.0,0,cypher,2
4.0,1,cypher,25
4.0,1,sova,20
4.0,1,omen,4
4.0,1,phoenix,4
4.0,1,breach,3
4.0,2,sova,42
4.0,2,skye,14
4.0,2,raze,2
4.0,2,sage,1
4.0,3,sova,33
4.0,3,viper,2
4.0,3,reyna,1
4.0,3,cypher,1
4.0,3,skye,1
6.0,0,sova,4
7.0,0,cypher,4
7.0,1,sova,19
7.0,1,cypher,13
7.0,1,breach,4
7.0,2,sova,21
7.0,2,breach,8
7.0,2,brimstone,7
7.0,2,astra,1
7.0,3,breach,11
7.0,3,sova,7
7.0,3,omen,5
7.0,3,viper,3
7.0,3,brimstone,2
7.0,3,sage,2
7.0,3,astra,1
8.0,1,omen,6
9.0,1,jett,51
9.0,1,reyna,19
9.0,1,raze,9
9.0,1,viper,2
9.0,2,jett,20
9.0,2,reyna,13
9.0,2,raze,3
9.0,3,jett,27
9.0,3,reyna,11
9.0,3,raze,5
9.0,3,yoru,2
10.0,0,reyna,4
10.0,1,cypher,23
10.0,1,raze,14
10.0,1,sage,9
10.0,1,omen,4
10.0,1,sova,3
10.0,1,reyna,3
10.0,1,breach,3
10.0,2,raze,33
10.0,2,sova,7
10.0,3,kayo,6
10.0,3,raze,5
10.0,3,jett,3
10.0,3,sova,3
10.0,3,viper,2
11.0,0,raze,4
11.0,1,raze,52
11.0,1,reyna,1
11.0,1,phoenix,1
11.0,2,raze,16
11.0,2,sage,5
11.0,2,reyna,2
11.0,3,sage,7
11.0,3,brimstone,3
11.0,3,jett,2
11.0,3,raze,2
11.0,3,reyna,1
11.0,3,phoenix,1
12.0,1,sova,32
12.0,1,raze,28
12.0,1,phoenix,21
12.0,1,jett,1
12.0,2,sova,19
12.0,2,raze,10
12.0,2,reyna,2
14.0,1,cypher,2
14.0,2,omen,15
14.0,2,astra,2
14.0,3,omen,3
14.0,3,astra,1
15.0,1,omen,2
15.0,2,jett,6
15.0,2,raze,3
15.0,2,reyna,1
15.0,2,phoenix,1
15.0,3,astra,6
15.0,3,jett,2
15.0,3,reyna,1
16.0,1,brimstone,2
16.0,2,reyna,7
16.0,2,phoenix,5
16.0,2,sage,2
16.0,2,raze,2
16.0,3,kayo,4
17.0,1,breach,2
17.0,2,cypher,9
17.0,2,killjoy,7
17.0,2,omen,1
17.0,3,cypher,3
17.0,3,killjoy,1
19.0,0,reyna,2
19.0,1,jett,30
19.0,1,reyna,9
19.0,1,viper,5
19.0,1,phoenix,4
19.0,1,raze,4
19.0,1,omen,2
19.0,2,jett,10
19.0,2,viper,8
19.0,2,phoenix,1
19.0,3,viper,9
19.0,3,cypher,3
19.0,3,jett,2
19.0,3,skye,1
19.0,3,sage,1
19.0,3,killjoy,1
20.0,0,sage,1
20.0,1,reyna,9
20.0,1,phoenix,4
20.0,1,jett,4
20.0,1,breach,4
20.0,1,viper,1
20.0,2,sage,2
20.0,3,reyna,1
20.0,3,jett,1
21.0,0,breach,1
21.0,1,sova,29
21.0,1,cypher,7
21.0,1,breach,6
21.0,1,raze,1
21.0,2,killjoy,8
21.0,2,sova,7
21.0,2,breach,2
21.0,2,cypher,2
22.0,0,brimstone,1
22.0,1,cypher,33
22.0,1,omen,6
22.0,1,killjoy,3
22.0,1,brimstone,3
22.0,2,cypher,8
22.0,2,omen,6
22.0,2,astra,5
22.0,3,killjoy,4
22.0,3,cypher,3
22.0,3,viper,2
22.0,3,astra,2
22.0,3,reyna,1
23.0,0,cypher,2
31.0,1,raze,13
31.0,2,raze,4
31.0,2,viper,2
31.0,2,breach,1
31.0,3,sova,9
31.0,3,raze,7
31.0,3,skye,5
31.0,3,viper,4
31.0,3,reyna,1
34.0,1,sova,29
34.0,1,omen,6
34.0,1,jett,1
34.0,2,jett,2
35.0,1,cypher,20
35.0,1,viper,4
36.0,1,sage,19
36.0,1,raze,19
36.0,1,reyna,10
36.0,1,phoenix,6
36.0,1,viper,2
36.0,1,breach,1
36.0,2,raze,22
36.0,2,omen,19
36.0,2,phoenix,7
36.0,2,jett,6
36.0,3,reyna,15
36.0,3,raze,7
36.0,3,jett,5
36.0,3,sova,4
37.0,1,cypher,12
37.0,1,raze,1
38.0,1,brimstone,22
38.0,1,breach,2
42.0,1,sova,2
42.0,3,sova,2
45.0,1,sage,56
45.0,1,phoenix,12
45.0,1,breach,5
45.0,1,skye,5
45.0,1,raze,4
45.0,2,phoenix,35
45.0,2,sage,12
45.0,2,sova,10
45.0,2,raze,5
45.0,2,breach,4
45.0,2,skye,1
45.0,3,sage,14
45.0,3,skye,13
45.0,3,phoenix,12
45.0,3,raze,5
45.0,3,kayo,1
46.0,1,jett,45
46.0,1,sova,23
46.0,1,breach,14
46.0,2,jett,42
46.0,2,sova,25
46.0,3,sova,29
46.0,3,jett,13
46.0,3,skye,2
46.0,3,breach,1
47.0,1,omen,56
47.0,1,brimstone,26
47.0,2,omen,45
47.0,2,astra,18
47.0,2,viper,3
47.0,2,brimstone,1
47.0,3,astra,26
47.0,3,viper,15
47.0,3,omen,4
50.0,0,sage,2
50.0,1,jett,17
50.0,1,sova,14
50.0,1,sage,12
50.0,1,raze,1
50.0,2,astra,12
50.0,2,breach,10
50.0,2,sova,7
50.0,2,raze,6
50.0,2,skye,2
50.0,2,sage,1
50.0,3,sage,7
50.0,3,omen,6
50.0,3,skye,6
50.0,3,astra,5
52.0,1,breach,15
52.0,1,sova,9
52.0,1,viper,1
52.0,1,raze,1
52.0,2,omen,6
52.0,2,brimstone,1
52.0,2,astra,1
53.0,0,cypher,2
53.0,1,cypher,12
53.0,1,sage,1
53.0,2,killjoy,10
53.0,2,cypher,2
53.0,3,killjoy,11
53.0,3,cypher,8
53.0,3,sage,4
53.0,3,breach,4
53.0,3,viper,1
54.0,1,sova,19
54.0,1,jett,17
54.0,1,breach,8
54.0,2,astra,47
54.0,2,viper,15
54.0,2,omen,13
54.0,2,jett,4
54.0,2,breach,4
54.0,2,sova,4
54.0,2,brimstone,3
54.0,2,sage,1
55.0,1,raze,20
55.0,1,reyna,15
55.0,1,phoenix,11
55.0,2,raze,99
55.0,2,sage,5
55.0,2,phoenix,2
55.0,2,reyna,1
55.0,2,omen,1
55.0,3,raze,13
55.0,3,skye,5
55.0,3,reyna,4
55.0,3,sova,3
55.0,3,phoenix,3
55.0,3,sage,2
55.0,3,viper,1
56.0,3,sage,1
56.0,3,kayo,1
57.0,1,sova,32
57.0,1,raze,12
57.0,1,omen,12
57.0,1,breach,3
57.0,2,sova,45
57.0,2,breach,2
57.0,3,sova,21
57.0,3,viper,10
57.0,3,breach,1
58.0,1,raze,36
58.0,1,omen,32
58.0,1,phoenix,8
58.0,1,brimstone,5
58.0,2,omen,26
58.0,2,raze,13
58.0,2,reyna,4
58.0,2,phoenix,3
58.0,2,viper,1
58.0,3,skye,1
58.0,3,reyna,1
61.0,1,cypher,35
61.0,1,brimstone,28
61.0,1,omen,12
61.0,1,sage,4
61.0,1,jett,3
61.0,1,reyna,1
61.0,2,killjoy,15
61.0,2,cypher,13
62.0,1,jett,62
62.0,1,sova,14
62.0,1,sage,4
62.0,1,omen,3
62.0,2,jett,42
62.0,2,sage,5
62.0,3,sova,35
62.0,3,viper,7
62.0,3,sage,6
62.0,3,skye,4
63.0,1,cypher,39
63.0,1,sova,27
63.0,1,omen,8
63.0,1,phoenix,7
63.0,1,reyna,1
63.0,1,breach,1
63.0,2,sova,43
63.0,2,killjoy,2
63.0,2,skye,1
63.0,2,cypher,1
63.0,3,sova,13
63.0,3,cypher,4
63.0,3,viper,3
63.0,3,brimstone,3
64.0,1,omen,29
64.0,1,phoenix,21
64.0,1,raze,14
64.0,1,breach,10
64.0,1,reyna,4
64.0,1,cypher,2
64.0,1,sova,2
64.0,1,jett,1
64.0,2,omen,46
64.0,2,astra,1
64.0,3,raze,11
64.0,3,omen,9
64.0,3,brimstone,4
64.0,3,astra,4
64.0,3,skye,2
64.0,3,reyna,1
65.0,1,sage,32
65.0,1,omen,22
65.0,1,sova,6
65.0,1,breach,3
65.0,1,cypher,1
65.0,2,sova,35
65.0,2,sage,8
65.0,2,breach,3
65.0,3,sova,17
65.0,3,sage,3
65.0,3,killjoy,1
66.0,0,sova,1
66.0,1,sova,9
66.0,1,cypher,1
68.0,1,skye,6
68.0,2,skye,93
68.0,2,viper,6
68.0,2,omen,3
68.0,2,killjoy,1
68.0,3,skye,30
68.0,3,breach,24
68.0,3,sova,11
68.0,3,cypher,8
68.0,3,kayo,6
68.0,3,viper,3
68.0,3,astra,3
68.0,3,sage,2
69.0,1,reyna,21
69.0,1,raze,9
69.0,1,phoenix,8
69.0,1,cypher,7
69.0,1,omen,7
69.0,2,reyna,23
69.0,2,raze,17
69.0,2,phoenix,7
69.0,2,jett,5
69.0,3,reyna,28
69.0,3,raze,9
69.0,3,skye,8
69.0,3,phoenix,1
70.0,1,omen,22
70.0,1,brimstone,15
70.0,1,breach,6
70.0,1,cypher,4
70.0,1,killjoy,1
70.0,2,cypher,7
70.0,2,killjoy,3
70.0,2,sage,2
71.0,0,phoenix,7
71.0,1,phoenix,54
71.0,1,sova,26
71.0,1,breach,16
71.0,2,sova,20
71.0,2,phoenix,18
71.0,2,raze,10
71.0,3,sova,3
71.0,3,sage,2
71.0,3,raze,1
72.0,0,jett,6
72.0,0,sova,1
72.0,1,jett,87
72.0,1,sova,10
72.0,2,jett,48
72.0,3,jett,23
72.0,3,sage,5
73.0,0,cypher,5
73.0,0,sage,2
73.0,1,cypher,44
73.0,1,sova,29
73.0,1,omen,8
73.0,1,breach,6
73.0,1,killjoy,5
73.0,1,raze,2
73.0,1,skye,1
73.0,1,phoenix,1
73.0,2,sova,22
73.0,2,astra,19
73.0,2,skye,4
73.0,2,omen,3
74.0,0,sage,5
74.0,1,omen,33
74.0,1,brimstone,21
74.0,1,sage,18
74.0,1,cypher,15
74.0,1,viper,7
74.0,1,killjoy,2
74.0,2,killjoy,24
74.0,2,brimstone,8
74.0,2,omen,3
74.0,2,cypher,2
74.0,2,viper,2
74.0,2,sage,1
74.0,3,killjoy,14
74.0,3,astra,11
74.0,3,cypher,10
74.0,3,viper,10
75.0,0,brimstone,7
75.0,1,omen,25
75.0,1,phoenix,25
75.0,1,brimstone,22
75.0,1,raze,12
75.0,1,reyna,10
75.0,2,skye,18
75.0,2,omen,17
75.0,2,phoenix,8
75.0,2,sage,3
75.0,2,reyna,2
75.0,3,skye,21
75.0,3,omen,6
75.0,3,brimstone,1
76.0,1,jett,22
76.0,1,reyna,4
76.0,1,cypher,1
76.0,2,sova,8
76.0,2,jett,6
76.0,2,viper,2
76.0,2,reyna,1
76.0,3,sova,15
76.0,3,viper,2
78.0,1,raze,30
78.0,1,phoenix,29
78.0,1,reyna,12
78.0,2,raze,31
78.0,2,omen,22
78.0,2,reyna,5
78.0,2,phoenix,1
79.0,1,phoenix,5
79.0,1,reyna,2
79.0,1,raze,1
79.0,2,reyna,7
79.0,2,sova,2
79.0,2,jett,2
79.0,2,sage,1
79.0,2,phoenix,1
80.0,1,sage,7
80.0,2,jett,7
80.0,2,reyna,1
81.0,1,cypher,7
81.0,1,omen,4
81.0,1,killjoy,1
81.0,1,sage,1
81.0,1,viper,1
81.0,1,sova,1
81.0,2,sova,20
81.0,2,sage,4
81.0,2,reyna,2
81.0,3,jett,6
81.0,3,raze,1
82.0,2,sage,4
82.0,2,sova,4
82.0,2,raze,2
82.0,2,breach,2
82.0,2,jett,2
82.0,2,skye,1
82.0,3,cypher,4
82.0,3,jett,3
82.0,3,skye,3
87.0,1,omen,9
87.0,1,brimstone,6
87.0,2,breach,30
87.0,2,skye,10
87.0,3,skye,1
88.0,1,sova,3
88.0,1,omen,1
89.0,1,raze,4
90.0,0,cypher,9
90.0,1,cypher,14
90.0,1,killjoy,8
90.0,1,sova,1
90.0,1,omen,1
90.0,2,killjoy,20
90.0,2,sage,3
90.0,3,killjoy,16
90.0,3,sage,4
