GameID,TeamAbbreviation,Agent
61,"['123', '123', '123', '123', '123']","['raze', 'sage', 'brimstone', 'breach', 'cypher']"
219,"['NES', 'NES', 'NES', 'NES', 'NES', 'WP', 'WP', 'WP', 'WP', 'WP']","['jett', 'brimstone', 'sova', 'cypher', 'sage', 'sage', 'brimstone', 'breach', 'sova', 'cypher']"
220,"['NES', 'NES', 'NES', 'NES', 'NES', 'WP', 'WP', 'WP', 'WP', 'WP']","['jett', 'sova', 'brimstone', 'sage', 'cypher', 'brimstone', 'sage', 'raze', 'breach', 'cypher']"
221,"['NES', 'NES', 'NES', 'NES', 'NES', 'WP', 'WP', 'WP', 'WP', 'WP']","['sova', 'jett', 'cypher', 'brimstone', 'sage', 'sage', 'phoenix', 'cypher', 'sova', 'brimstone']"
222,"['Simp', 'Simp', 'Simp', 'Simp', 'Simp']","['raze', 'breach', 'sage', 'cypher', 'sova']"
223,"['Simp', 'Simp', 'Simp', 'Simp', 'Simp']","['cypher', 'raze', 'sova', 'sage', 'breach']"
224,"['Simp', 'Simp', 'Simp', 'Simp', 'Simp']","['raze', 'sova', 'cypher', 'sage', 'breach']"
228,"['DC', 'DC']","['reyna', 'sova']"
229,"['DC', 'DC']","['reyna', 'sova']"
230,"['DC', 'DC']","['sova', 'reyna']"
255,"['LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO']","['sova', 'brimstone', 'sage', 'breach', 'cypher', 'sova', 'brimstone', 'raze', 'breach', 'sage']"
256,"['LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO']","['brimstone', 'breach', 'raze', 'cypher', 'sage', 'breach', 'sage', 'raze', 'sova', 'phoenix']"
257,"['LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO', 'LEMO']","['raze', 'brimstone', 'breach', 'sage', 'cypher', 'breach', 'sova', 'brimstone', 'omen', 'sage']"
262,['Inet'],['sage']
263,['Inet'],['sage']
264,"['FB', 'FB', 'FB', 'FB', 'FB', 'WP', 'WP', 'WP', 'WP', 'WP']","['sova', 'reyna', 'jett', 'sage', 'brimstone', 'cypher', 'brimstone', 'sage', 'sova', 'breach']"
265,"['FB', 'FB', 'FB', 'FB', 'FB', 'WP', 'WP', 'WP', 'WP', 'WP']","['raze', 'breach', 'reyna', 'brimstone', 'sage', 'cypher', 'breach', 'brimstone', 'raze', 'sage']"
